calibration_bias,seed,terminal_pnl,fill_count,spread_capture,adverse_selection,settlement_noise,identity_error,as_INFORMED,as_VALUE,as_NOISE
-0.1,13,261.8646340511764,1130,21.385261096180322,-89.42296846002147,329.902341415017,5.115907697472721e-13,-55.616699880933226,-35.520669617634866,1.714401038546633
-0.1,14,-300.4204113284188,1164,23.280000000000015,-92.11978694916733,-231.58062437925162,1.1368683772161603e-13,-57.252715613252185,-36.24723901935711,1.3801676834419632
-0.1,15,318.4292556836252,1034,19.10948647803515,-77.10666097227706,376.4264301778697,2.6147972675971687e-12,-45.75395442274281,-29.36631238000859,-1.9863941695256508
-0.1,16,-670.6628041637217,1151,21.433493185720664,-91.20783529623114,-600.8884620532115,2.2737367544323206e-13,-55.1096206949377,-34.32286033682105,-1.7753542644723832
-0.1,17,-439.69055721876737,1147,22.746862140841174,-89.82603624300752,-372.61138311660136,3.410605131648481e-13,-56.3405100444938,-35.59242525712484,2.1068990586111163
-0.1,18,-289.53496239447577,1139,22.780000000000022,-90.99264609030888,-221.32231630416692,0.0,-58.17843985931789,-34.425360842932626,1.6111546119416453
-0.1,19,570.9963880613225,1140,22.80000000000002,-94.1796511427701,642.3760392040929,3.410605131648481e-13,-56.922139766240846,-36.25252152111655,-1.0049898554126961
-0.1,20,-232.8913744050352,1139,22.780000000000022,-92.87307389025213,-162.7983005147836,4.831690603168681e-13,-57.02409825812643,-34.686775025369286,-1.1622006067564064
-0.1,21,-434.3668994854337,1185,23.70000000000001,-94.58591074457757,-363.4809887408566,4.547473508864641e-13,-60.45431902779532,-33.74080594697422,-0.39078576980801993
-0.1,22,-448.8498533750605,1149,22.980000000000015,-90.74992667580449,-381.079926699256,0.0,-56.976227703962834,-36.87857447505937,3.104875503217716
-0.1,23,139.2334065090466,1118,19.42072666652765,-79.27262012825574,199.08529997077457,1.1368683772161603e-13,-50.71997835836407,-28.709213107377238,0.1565713374855704
-0.1,24,220.28801331476024,1127,20.86675810105561,-83.16153383636308,282.5827890500668,8.810729923425242e-13,-54.80396934561404,-28.982828620032816,0.6252641292837879
-0.1,25,-376.80293012705016,1183,23.660000000000018,-97.05425288560573,-303.4086772414448,3.979039320256561e-13,-61.411039736958756,-33.6547885258674,-1.9884246227795588
-0.1,26,170.78375340088698,1046,19.27452538008518,-77.34066471570225,228.84989273650382,2.2737367544323206e-13,-47.820814587433496,-29.126718884227486,-0.3931312440412614
-0.1,27,425.8576809721024,1207,24.140000000000015,-97.31082421841927,499.0285051905217,5.684341886080802e-14,-61.973764261177124,-37.069362686090074,1.7323027288479127
-0.1,28,412.7095946556229,1128,22.560000000000016,-93.68368169229963,483.8332763479226,1.1368683772161603e-13,-57.95708258459263,-35.76451332959439,0.03791422188738203
-0.1,29,-286.32262538935163,1173,23.46000000000002,-95.83998504812119,-213.94264034123034,1.1368683772161603e-13,-60.97801871749361,-35.54983607230312,0.6878697416755407
-0.08,0,-207.66077234024863,1090,21.800000000000026,-75.85787533696683,-153.60289700328195,1.1368683772161603e-13,-45.866240621676404,-27.857504526964817,-2.1341301883256047
-0.08,1,502.0967844093984,1083,21.660000000000018,-73.57896440527634,554.0157488146745,2.8421709430404007e-13,-47.328964017191026,-27.21701262418057,0.9670122360952653
-0.08,2,346.8521420200395,1055,21.10000000000002,-73.92408300653142,399.6762250265708,5.684341886080802e-14,-45.826405218125686,-28.004334388796412,-0.09334339960932292
-0.08,3,338.7316358992343,1057,20.91529591541746,-68.60118119238976,386.4175211762068,1.7053025658242404e-13,-44.84017029218133,-24.864811590926784,1.1038006907183435
-0.08,4,261.9873887805449,1032,20.145917998473507,-64.72660423498401,306.56807501705515,2.8421709430404007e-13,-44.478313498750204,-21.832503438138698,1.584212701904898
-0.08,5,-469.26668062306544,1026,18.974237406713645,-62.510260584287266,-425.7306574454924,5.684341886080801e-13,-39.006353520638825,-23.765105432789056,0.2611983691406158
-0.08,6,337.0031395829822,1076,21.1240373473392,-68.13277682004521,384.0118790556889,6.821210263296962e-13,-43.47276461758247,-26.332511284242518,1.672499081779775
-0.08,7,-279.34340344062474,1079,21.58000000000002,-74.48491022839914,-226.43849321222575,1.1368683772161603e-13,-49.80770600020863,-25.914855691363588,1.237651463173091
-0.08,8,231.93219117903269,1056,20.3667053143673,-67.04541512616873,278.6109009908338,3.410605131648481e-13,-40.90258456870609,-24.94781449684515,-1.1950160606175002
-0.08,9,148.16319250448012,1030,19.828297942842205,-69.65854923122345,197.99344379286111,2.5579538487363607e-13,-42.5391552290629,-27.129339068251568,0.009945066091016752
-0.08,10,-262.53081413952617,1130,22.60000000000002,-76.31770351519867,-208.81311062432803,5.115907697472721e-13,-47.22450742514728,-29.53166842900928,0.43847233895789584
-0.08,11,-487.6182378205391,1061,20.90518351948059,-71.36463561946996,-437.1587857205495,2.2737367544323206e-13,-44.414518630342315,-27.19043723284568,0.24032024371804844
